Name,Team,Tom Position Category,Price Category,Bailey Catch-All Rankings
John Collins,ATL,Forwards,Duke-Prince's Ransom,157
Mason Plumlee,CHA,Bigs,Peasant's Pity/Duke's Ransom,47
PJ Washington,CHA,Bigs,Duke's Ransom,201
Zach Lavine,CHI,Guards,King's Ransom,38
Alex Caruso,CHI,Guards,Prince's Ransom,125
Bojan Bogdanovic,DET,Forwards,Prince's Ransom,56
James Wiseman,GSW,Bigs,Duke's Ransom,Unranked
Robert Covington,LAC,Forwards,Duke's Ransom,226
Duncan Robinson,MIA,Forwards,Peasant's Pity,301
Evan Fournier,NYK,Forwards,Peasant's Pity,Unranked
Isaiah Hartenstein,NYK,Bigs,Peasant's Pity/Duke's Ransom,219
Gary Harris,ORL,Forwards,Peasant's Pity,Unranked
Mo Bamba,ORL,Bigs,Duke's Ransom,147
Matisse Thybulle,PHI,Guards,Duke's Ransom,229
Tobias Harris,PHI,Forwards,Prince's Ransom,70
Cam Johnson,PHO,Forwards,Prince's Ransom,Unranked
Jae Crowder,PHO,Forwards,Duke's Ransom,Unranked
Jerami Grant,POR,Forwards,Prince's Ransom,44
Pascal Siakam,TOR,Forwards,King's Ransom,19
OG Anunoby,TOR,Forwards,King's Ransom,54
Gary Trent Jr,TOR,Forwards,Duke's Ransom,102
Lauri Markkanen,UTA,Forwards,King's Ransom,10
Kyle Kuzma,WAS,Forwards,Prince's Ransom,76
Deni Avdija,WAS,Forwards,Duke's Ransom,232
Rui Hachimura,WAS,Forwards,Duke's Ransom,258
Naz Reid,MIN,Bigs,Duke's Ransom,122
Domantas Sabonis,SAC,Bigs,,9
De'Aaron Fox,SAC,Guard,,39
Harrison Barnes,SAC,Forward,,67
Kevin Huerter,SAC,Guard,,80
Terence Davis,SAC,Guard,,167
Malik Monk,SAC,Guard,,170
Keegan Murray,SAC,Forward,,180
Trey Lyles,SAC,Bigs,,221
Davion Mitchell,SAC,Guard,,262
Alex Len,SAC,Bigs,,Unranked
Neemias Queta,SAC,Bigs,,Unranked
Chimezie Metu,SAC,Bigs,,Unranked
KZ Okpala,SAC,Forward,,Unranked
Matthew Dellavedova,SAC,Guard,,Unranked
Richaun Holmes,SAC,Bigs,,Unranked
